Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA LARGO,Тюль,2039755124547,220984055,51859732540,50517658060,,Выдано,2026-04-01 14:24:52,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4830301223,mp.116358b1aa754d73ae16fc2f1680957f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755124547,220984055,51859732539,50517658068,,Выдано,2026-04-01 14:24:37,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4830301224,mp.11e6d521b81a4e9f8974149105f29009.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ALLEGRO,Тюль,2042959576838,338817672,51987696542,49401588446,,Выдано,2026-04-03 10:41:18,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4837004054,mp.4d300455550f4981b81911dc5afabaaf.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810476,188397394,51173644757,50669430893,,Выдано,2026-04-01 14:23:03,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4780213309,mp.4d84895efa83449bacf702ed57e75832.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560697,246094509,51798198816,50593454760,,Выдано,2026-04-02 12:58:17,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4826112990,mp.698969c814174bf69c846167ff3e79ec.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647339,244226738,50913682440,49491109791,,Выдано,2026-04-03 20:08:12,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4757933565,mp.69dd63d45a4e46f58b9a63f44d2a6202.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040404412649,237814095,51554414957,47358441276,,Выдано,2026-04-02 12:39:51,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4808257312,mp.6d96917757b54746928cb0a82b5c205b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048880416,345232986,50723918345,50473018867,,Выдано,2026-04-01 09:51:25,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4742666507,mp.82601ec128e749149396d9a06d1b5898.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040334481142,236899074,50028961097,50028961097,,Выдано,2026-04-04 09:52:06,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4808115252,mp.95712b73a76e4e83841f6f6f5b1f3bcf.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560697,246094509,51798198819,50593454762,,Выдано,2026-04-02 12:58:54,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4826112991,mp.9b3710c0683e4c72a3e77e90948c4271.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2039900617979,227577700,51990258087,49117887040,,Выдано,2026-04-03 15:22:16,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4837734532,mp.b79a10fe4f774644b03b76c1255dd8cc.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277106,246980318,51783766222,49046769707,,Выдано,2026-04-05 09:05:22,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4825328825,mp.ccf292fc0e624f5cb94db922ba1640f6.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040334481142,236899074,51554272979,50425316507,,Выдано,2026-04-04 09:47:37,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4808115253,mp.cde7933d36a04742bdb834394fff7303.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647766,244226851,51939222648,48829142417,,Выдано,2026-04-03 08:45:07,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4832724031,mp.d9b186f336ae4d608c8d2f947bbe9708.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2037609033182,152016941,51858936651,51365896395,,Выдано,2026-04-02 12:28:41,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-30,,4829504790,mp.e13ef7e3ea0e464c84ac2f792ed2c6db.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480781,181095929,47297417407,49874937506,,Выдано,2026-04-04 08:44:06,2026-04-06 11:17:24,,Возврат брака,2026-03-31,,0,b9eeff61a03e43b9895774c7ae7abd76,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480781,181095929,51992020317,50669145960,,Выдано,2026-04-03 09:18:05,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-31,,4838996556,mp.2d08abb4d6a64d72a0954f803cd7edb3.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277595,246980444,51164039133,49486259874,,Выдано,2026-04-02 12:53:39,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-31,,4775188622,mp.38ae8a158ab0467890970f7e50d2f8ea.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560987,246094446,51987635052,50681929340,,Выдано,2026-04-03 20:09:10,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-31,,4836942658,mp.6ebe1e82759742e2b0bb41b97878420a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2043048880416,345232986,51986400971,50338901144,,Выдано,2026-04-03 09:42:33,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-31,,4836313031,mp.d34753a425f1480a92d5222f4d1d2810.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277595,246980444,51164039142,49486259870,,Выдано,2026-04-02 12:56:47,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-31,,4775188626,mp.e28faddd71cd425a94345cb7a6671f5b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480699,181096031,51756155178,51756155178,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-03-31,,4823276033,mp.f6e89e8113214539beef1899daf54ef7.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038598094710,176507895,51871658063,48957411305,,Выдано,2026-04-05 08:52:26,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4830926913,mp.175b970ab25e46a38233cbf1ecc9d06c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048927913650,820169081,51907313550,50426061657,,Выдано,2026-04-04 15:03:08,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4831954721,mp.24b66af91ed14bfd869590820030d206.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560611,246094587,51730826970,51730826970,,Выдано,2026-04-14 14:47:47,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4818395318,mp.2c58db3fb3cb4d8e9056cebca9f69709.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2038279976366,171828859,51782840537,49485441383,,Выдано,2026-04-07 10:04:56,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4824402292,mp.4b50b6b663a94afb9559ff951f506967.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042610442625,118046216,51956308922,46841902869,,Выдано,2026-04-05 08:50:59,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4833684102,mp.573918fb537545bfbd34c778b27b7c89.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038598094338,176507858,51857910967,49415218776,,Выдано,2026-04-06 16:12:52,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4828978931,mp.829ad79e0c244a8f8d9d3be827fa10b2.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044506183629,120366323,51634191728,42265271051,,Выдано,2026-04-06 09:40:48,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4810640072,mp.c471e20ac93345da99242a7b4a8a7e5d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044507087629,120370329,52007146039,47309886404,,Выдано,2026-04-05 09:07:05,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4840801831,mp.ddab3e6bcce54f59823133d869f5bce2.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560864,246094556,51798370766,50468353376,,Выдано,2026-04-05 08:40:16,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4826285008,mp.f7444d5b7fdb454e931a6fac27fd89b3.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560611,246094587,51730826973,51730826973,,Выдано,2026-04-14 14:47:51,2026-04-17 11:23:41,,"Возврат товара, который приехал по МП, продавцу",2026-04-01,,4818395319,mp.ffe3d6da4c1945b1bceba0cf77a47d8d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481702,181095901,51752987940,51752987940,,Выдано,2026-04-05 13:53:59,2026-04-06 11:17:24,,Возврат брака,2026-04-02,,0,06f3612d517449cb8c202d64338c1f20,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803385,234407674,44593358056,30978965735,,Выдано,2026-04-05 08:57:25,2026-04-06 11:17:24,,Возврат брака,2026-04-02,,0,9eea913061ed46bcadbfa86f04caa704,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755197855,220985849,44006967135,48343028449,,Выдано,2026-04-04 08:43:55,2026-04-06 11:17:24,,Возврат брака,2026-04-02,,0,e719cab4ebf140488203c12c82d2f36e,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038563750085,175735932,51882455603,46831621226,,Выдано,2026-04-07 10:07:50,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4831215214,mp.273d68e14c9540718988edc5c03a19cd.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038563750085,175735932,51882455601,46831621230,,Выдано,2026-04-07 10:07:29,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4831215213,mp.41c12ae6b5a447cf8aab3e3566a77c6c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481702,181095901,51752987940,51752987940,,Неподбор,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4822286447,mp.6b95187a71b64bb499185b3df1aac33a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266812,244447326,52010440068,52010440068,,Выдано,2026-04-05 19:26:37,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4843596000,mp.87c02cc0ab8040e8b211fd3886402225.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BELLA,Шторы интерьерные,2040826849962,249202973,52006593561,50523289221,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4840250459,mp.8a164e4521b34c9ba23c6950af214c0e.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040428390817,238226376,52140760959,51209298894,,Выдано,2026-04-06 16:14:41,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4849406614,mp.b1e14873969b4ff886160b1a46bc12c9.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545197733,149406055,51894427379,45747412445,,Выдано,2026-04-08 09:41:37,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4831429570,mp.dfae457a9d584c3192a517f486cc8d11.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647469,244226713,51858810188,49484355180,,Выдано,2026-04-06 09:50:21,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-02,,4829378149,mp.fbb893f5c3674066bcdbd08d8df8c44d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2036881548476,105248695,15194346159,32386093877,,Выдано,2026-04-07 10:04:08,2026-04-10 11:07:37,,Возврат брака,2026-04-03,,0,1f549a67f73c4e89ba40a9936f95150a,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266850,244447205,51718295531,50656816360,,Выдано,2026-04-06 09:53:39,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4815914633,mp.12c4fe5ad44d4491ba7ac80eee8fa417.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040608919777,242396657,52009210638,50584630652,,Выдано,2026-04-05 09:06:04,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4842366917,mp.17e968411e0b4ecd93065cbed33f4ddc.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749261842,396849766,52122766665,49402797965,,Выдано,2026-04-08 11:52:00,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-04-03,,4848952651,mp.218c3a545bae4de0836ad8a9a25a2221.r,"Тверь, Улица Вагжанова 21",211256
